3209, 5144, 8801
7016, 4651, 8666
4933, 1208, 4492
1791, 2531, 1377
2596, 56, 9028
6606, 2308, 655
728, 3230, 812
9217, 9254, 1652
9236, 6588, 9311
8123, 5462, 7030
5582, 7171, -500
-749, 5924, 8842
1953, 7012, 7969
119, 2527, 5720
3415, 4468, 910
6871, 2882, 3055
509, 3102, 3229
6133, -420, 6227
9817, 6913, 3661
7018, 5926, 3254
9750, 6051, 2470
8255, 465, 2062
3451, 9205, 5079
7067, 1925, 3603
4733, -758, -953
2805, -846, 8350
8825, 2711, 3378
7551, 5987, 2904
8758, 2080, 7812
5429, 1362, 3305
6547, 7699, 4000
1324, 738, 6792
7322, 1163, 8162
6612, 239, 8351
8623, -601, -978
-528, 5715, -92
1161, 5792, 9051
3492, 8583, 6443
9885, 5463, 8514
8565, 9402, 2500
6488, 2729, 1079
-761, 666, 3150
5940, 2686, -995
6068, -223, -787
8036, 4783, -675
3880, 314, 6860
3714, 4202, 8880
8044, 6004, 8141
6902, 1179, 4774
-917, -681, 6951
-307, 8531, 9128
6927, 1262, 4443
4057, 5015, -652
8594, 7345, 3777
2845, 9817, 5509
3333, 8216, 9156
9553, 3583, 724
-52, -263, 768
4068, 2898, 8296
5107, 7453, 8948
3347, 7940, 562
2220, -419, 8894
5843, 5540, 9992
7122, 9716, 4454
4362, 8161, 7592
5913, 9514, 1124
7, 4239, 3595
-498, -747, 254
1907, 954, 6267
9949, 5900, 2474
8312, 8455, 6298
-946, 5132, 3976
2836, 2415, 6417
1448, -983, 3744
4952, 3717, 5995
3057, 4384, 7780
2262, 2560, 8225
8698, 6254, 994
4938, 3687, 5266
9434, 3062, -39
2216, 7956, 7212
1156, 5911, 3676
713, 6994, 3497
5227, 6831, 2352
7950, 3466, 9055
3488, 5419, 3832
9445, 5431, 6473
2976, 7089, 3188
1109, 4215, 6558
6251, 2207, 1989
2486, 6928, 1514
1194, 8875, 9735
8593, 2142, 1120
1261, 4783, 3708
-606, 8603, 7456
8836, -807, 8806
1407, 2566, -971
5389, 5818, 6720
2271, 9104, 3278
4893, 5841, 7345
2745, 1379, 285
3960, 6636, 8767
3566, 7950, 5952
1766, 9989, 9881
8567, 4788, 1905
-64, 323, 8473
-522, 4350, 492
1101, 3049, -793
7119, 235, 2784
4703, 1622, -839
5942, -286, 9497
5400, 2637, 77
3928, 5822, -488
5857, 2174, 3530
5439, 3405, 8878
219, 8382, 4646
3051, 9729, 1046
7860, 7663, 1749
-959, 202, 4986
4109, 6274, 4002
8141, 5029, 2720
-142, 6318, 6084
5524, 8063, 5677
5541, 3337, 8666
7612, 7841, 4085
4677, 3686, 9890
3316, -151, 2822
5313, 7434, 2389
8208, 34, 8671
8853, 1836, 7765
1254, 7561, 9387
9967, 2881, 5464
3086, 4494, 6909
-16, 4139, 1270
8389, 4854, 601
8878, 6243, 9734
6132, 257, 6392
-721, 7081, 4837
3047, 7999, 3209
3318, 3401, 5080
7852, 5679, 6970
4229, 1719, 3465
932, 7873, 3437
275, 2206, 7611
515, 5702, 3034
4751, 6623, 7670
4794, 3711, 3530
8364, 6807, -960
2630, 2773, 4293
9504, 4574, 3521
8474, 6345, 178
1185, 7726, 3686
7967, 6190, -114
3461, 7923, 5616
5303, 189, 5995
2164, 5413, 8036
9432, -303, 3383
8676, 8413, 9257
4600, 3925, 6595
2187, 4400, -775
4016, 1097, -769
-482, 6007, 6595
5520, 2293, 1773
5620, 298, 2612
-341, 7067, 6091
9236, 7417, 4386
9316, 2355, 2542
6283, 7997, 5503
5849, 9939, 823
4026, -403, 4859
5175, 378, 1204
9087, 916, 7067
4554, 8084, 9558
8169, 395, 2163
9933, 4451, 7942
1688, 2916, 4935
-932, 8160, 7361
2965, -319, 282
6772, 1699, 3520
6850, 3579, 8201
4468, 5399, 7778
-922, 1835, 9730
7601, -886, 2029
2597, 8185, 7788
8246, 5210, 5131
2995, -222, 5303
5997, 8092, 7031
6062, 7669, 1463
1557, 4207, -535
2950, 9242, 170
5665, 1757, 5919
-902, 341, 5860
2258, 3235, 7210
2753, -698, 286
3971, 1102, 2269
3795, 6826, 6713
4006, 7149, 3848
3994, 3718, 2867
9563, 9178, 6363
-73, 1907, 8886
7188, 2335, 8586
5079, 983, 7702
9644, 7194, 9582
3861, 3339, 3764
6987, 6228, 5903
7650, 2657, 2513
8825, 9432, 75
5183, 3904, 1033
5881, 2230, 7738
7585, 2154, 9778
-709, -944, -38
3508, 2790, -252
4768, 8413, -292
4853, 8483, 4621
6276, 2072, 6364
8477, 8723, 5232
6244, 3507, 492
6982, 1936, 7854
709, 5404, 8516
8369, 5914, 5067
4289, -506, 8610
1527, 8991, 5296
5611, 1782, 6032
3593, -401, 6852
-140, 150, 661
8890, 45, 2234
9195, -4, 9322
1645, 3171, 5006
-853, 713, 5579
5030, 5221, 6169
1537, 3413, 6861
1972, 320, 3961
4154, 7442, 1348
7257, -752, 6604
-575, 6384, 9509
4869, 4155, 5009
-18, -752, 3619
8960, 186, 4680
8816, -453, 8388
-207, 7595, 5695
9634, 8092, 9767
2352, 3270, 2929
2997, 5156, 6281
6345, 9103, 4729
593, 1191, 2029
2313, 3452, 5783
6138, -938, 665
4132, 9132, 2890
2865, 393, 512
5200, 3490, 8609
7147, 6836, 7444
9216, -494, 1104
941, 2775, 1799
4660, 4163, 8995
7820, -216, 1270
227, 8846, 2627
4801, 3742, 4103
4986, 5659, 725
9450, 7239, 8632
5015, 57, 2785
2811, 4066, -788
-507, 4434, -560
690, 2040, 5192
4669, 4812, 4604
3482, 4075, 5232
7555, 5029, 7598
6143, 9879, 4421
7014, 3405, 5832
1904, 1556, 6970
6996, 1873, 3254
5002, 2713, 5551
9349, 6887, 3826
3852, 5365, 8013
6041, 4136, -723
6454, 1105, 2145
6529, 2650, 3212
5490, 3172, 5214
452, 8983, 3135
2496, 9806, 4704
5506, 5122, 9408
1344, 8729, 6042
-212, 6871, 6080
5559, 8230, 4326
2591, 1761, 7467
4972, 8983, 5132
5527, 6768, 6889
1128, 9532, 9537
1134, 9665, 2078
-465, 9972, 9323
311, 3586, -424
9556, -784, 9908
6159, 3017, 2216
3373, 1389, 3160
3671, 7513, -758
2203, 6487, 6703
195, 6175, 6109
6238, 5521, 2173
5357, 7512, 403
9260, 3163, 9804
4286, 9644, 6036
6944, 1047, 3831
-679, 8814, -551
7239, 7421, 7415
8081, 4992, 8250
3008, 3677, 5858
3921, 4300, 5208
3161, 9773, 5979
4149, -951, 5330
2373, 6965, 7016
9355, 6771, 5278
1153, 5387, 3123
1116, 9177, 4774
6000, 9356, 7812
3585, 2073, 6020
-755, 6078, 9474
6315, 1661, 8548
8589, 8508, 3270
1290, 3774, -818
-60, 9013, 5844
9901, 6203, 2559
-443, 7335, -672
3868, 304, 2252
2920, 4759, 2110
3690, 1509, 2730
2599, 6263, 6658
9479, -833, 3841
4434, 8902, 3873
