8137, 203
1951, -684
299, 3538
-76, 8007
3592, 751
2080, 4470
-834, 2333
-157, 8571
4094, 3913
7321, 636
6692, 778
1904, 3000
7121, 4911
9282, 6115
3389, 4595
4330, 3208
3569, -914
5928, 8356
908, 7476
3031, 3892
1756, 3751
9748, 6820
837, 6333
8631, 6134
2516, -765
-233, 6015
95, 9068
7190, 6948
756, 8117
6399, 15
-642, 8082
8142, -381
4676, 7716
8256, 7303
2365, 8129
9936, 4776
5953, 8607
354, 7061
2833, 7501
-212, 515
4583, 4720
4935, 6696
3745, 1583
446, 9848
5055, 8363
1634, 5857
1132, 9603
6797, 1084
-606, 935
8819, 5132
7544, 2521
6779, 4667
7268, 5639
7529, -414
4825, 3052
9418, 1245
4993, 6175
6621, 598
4896, 2233
8736, -724
3120, 1637
7124, 3281
5484, 1189
9583, 1055
7436, 8404
4195, 2480
7296, 9899
7150, 4295
9547, 2939
1777, 5951
4294, 1732
3656, -328
3559, 2750
6107, 8175
9697, -95
1576, 2670
4629, 1326
4133, 3702
6016, 8089
-300, 352
4308, 5934
9729, 7387
5919, 7528
7917, 6986
6129, -302
-306, 658
3057, 5088
1516, 5479
6023, 1858
3806, 9618
3018, -650
4941, 4310
2209, 212
5098, 6173
1277, 4989
996, 6646
7343, 7415
836, 1824
71, 1602
9548, 5425
8240, 6603
-852, 8605
4879, 5920
3265, 3265
7253, 2921
7377, 4046
-324, 3855
4203, 4302
6101, 8952
5697, 2104
5928, 9921
783, 2502
4646, 7695
9810, 8169
5751, 5902
5759, 9211
6899, 8703
-452, 4292
8853, 9298
2479, 5316
7741, -522
2910, 6379
8136, 671
2908, 5359
9395, 6829
3109, 8180
2638, 6663
9422, 7175
1196, 7003
5660, -667
8127, 9000
1368, 886
8827, 4258
2987, 740
5390, 7679
1002, 6389
8126, 9023
5210, 9749
460, 6557
1745, 1508
4542, 5677
1275, 2882
6795, 7343
7165, 9745
5659, 9185
9229, 4670
9354, 7782
5066, 3542
9050, 292
6947, 9833
2255, 7286
-8, 526
175, 6313
5669, 2711
6906, 5334
8356, 6208
8234, 1235
646, 6499
1787, 8355
7023, -954
1938, 1012
1057, 9986
7705, 1581
4319, -267
2574, 408
1913, 8531
1503, 3700
61, 4869
2543, 5055
8752, 6597
5037, 9766
-235, 9062
4107, 7809
5010, 7804
690, 4587
821, 6094
6045, 4422
9821, 9648
1889, 7837
618, 1118
4770, 782
2656, 7193
7516, 2720
156, 2156
7297, 9758
1225, 9002
9727, 5086
470, 9367
7925, 1671
696, 4994
1751, 2285
1767, 4512
8772, -803
4302, 2848
7940, 6959
4592, 7458
-217, 6072
2466, 874
9682, 2507
9640, 1474
4059, -237
1726, 8760
4601, 5980
9159, 7902
-260, -287
6156, 1084
2233, 1171
331, 5786
6681, 3759
3366, 2820
8803, 6365
2599, 6269
2053, 4715
949, 2850
6470, 74
472, 5986
7502, 5963
5498, 6477
8489, 223
6707, 4454
9707, 5415
4651, 4381
6550, 7508
5036, 7047
-203, 3997
556, 1622
-102, 4
8829, 743
8901, 7052
8623, 8103
2273, 6472
5975, 1145
2652, 5504
2681, -62
5338, 3859
7548, 2946
2594, 6657
6556, 5029
-148, 5732
9792, 6414
7902, 2808
1733, 161
7675, 7918
3368, 3023
3712, -563
4674, 3422
2947, 9641
8397, 1568
7644, 9907
9813, 6268
2453, 9760
9759, 1153
9914, 546
-692, 7828
9029, -460
9720, 9620
26, 5861
3175, 8873
2902, 1374
3174, -285
5663, 2959
8280, -8
3226, 4950
7904, 8763
2440, 2966
3578, 1896
8507, 6791
9763, 2647
9707, 6030
9346, 9722
9805, 7217
2682, 3485
7698, 7605
2630, 4067
4882, 4521
-892, 1523
6954, 2492
4092, 2762
3075, 2103
2426, 7600
6477, 4466
1360, 6196
3237, 9411
763, 5305
2462, 3788
6547, 9076
3911, 5467
6625, 5767
8299, 1395
-908, 8938
-322, 4029
7107, 4938
1120, 3172
3059, 9095
3039, 5105
2242, 2937
7909, 3291
-42, 1568
3343, 2353
2363, 3167
3677, 3800
3719, 4213
8749, 6441
1775, 6323
2129, 5198
6145, 4723
2589, 475
9372, 7144
7467, 996
5393, 3708
216, 7017
-560, 4039
6235, 6469
3540, 4510
6433, 1891
3574, -626
9496, 1997
8295, 5643
6889, 9351
3232, 6226
-747, 3371
4723, 1638
9541, 8076
2444, 1998
6670, 3593
625, 3802
1496, 6429
9660, 110
999, 9633
3220, 6518
2999, 3735
6515, 6755
7386, -984
7158, -706
5944, 4169
885, 2843
8757, 5802
5801, 7751
9825, 2791
-620, 7622
3956, 9395
9900, 5112
8142, 9672
588, 1791
7621, 739
4674, 7910
3982, 6881
1207, 6920
9699, 4096
-38, 6535
2114, 7535
4147, 9161
3122, 9774
9567, 4545
6434, 5586
895, 7724
7168, 5161
-915, 3294
2000, 4877
-297, 7250
4545, 9803
6881, 6740
9317, 5215
2407, 9136
842, 5340
1807, 9604
